Name_of_class,Keywords_from_description
'manufacture of knitted and crocheted fabrics',"['window furnishing type fabrics', ""see 1430 '>"", ""description =' manufacture"", 'crocheted fabrics', 'see 1399', 'similar machines', 'record n', 'crocheted apparel', 'class excludes', 'lace knitted', 'manufacture', 'manufacture', 'knitted', 'knitted', 'raschel', 'net']"
"'manufacture of made-up textile articles, except apparel'","[""see 1399 '>"", ""description =' manufacture"", 'textile articles', 'textile articles', 'technical use', 'record n', 'except apparel', 'class excludes', 'manufacture', 'made']"
'manufacture of carpets and rugs',"[""see 2220 '>"", 'resilient floor coverings', ""description =' manufacture"", 'floor coverings', 'see 1629', 'see 1629', 'record n', 'plaiting materials', 'class excludes', 'manufacture', 'manufacture', 'manufacture', 'vinyl', 'rugs', 'matting', 'mats', 'linoleum', 'cork', 'carpets']"
"'manufacture of cordage, rope, twine and netting'","[""see 2599 '>"", ""description =' manufacture"", 'see 1410', 'record n', 'class excludes', 'wire rope', 'manufacture', 'manufacture', 'rope', 'twine', 'netting', 'hairnets', 'cordage']"
'manufacture of other textiles n.e.c.',"['tampons etc ., see 1709 manufacture', 'loom felt floor coverings', ""see 2599 '>"", 'woven metal wire', ""description =' manufacture"", 'see 2219 manufacture', 'see 2219', 'see 1392', 'textile products', 'textile fabric', 'specified elsewhere', 'sanitary towels', 'reinforcing purposes', 'record n', 'plastic combined', 'division 12', 'cord impregnated', 'conveyor belts', 'class includes', 'class excludes', 'chief constituent', 'activities related', 'textile wadding', 'textiles n', 'cellular rubber', 'manufacture', 'manufacture', 'manufacture', 'wadding', 'textiles', 'textiles', 'rubber', 'rubber', 'yarn', 'transmission', 'sheets', 'plates', 'needle', 'laminated', 'e', 'covered', 'coated', 'cloth', 'c', 'articles', '2220', '13']"
"'manufacture of wearing apparel, except fur apparel'","['except sports headgear ), see 3290', 'except headgear ), see 1420', 'leather sports gloves', 'except fur apparel', ""see 9529 '>"", 'merely sealed together', 'protective safety clothing', 'see 1520 manufacture', ""description =' manufacture"", 'sports headgear', 'see 3290', 'safety headgear', 'see 3230', 'see 2219', 'fur skins', 'wearing apparel', 'wearing apparel', 'wearing apparel', 'wearing apparel', 'record n', 'class excludes', 'manufacture', 'manufacture', 'manufacture', 'manufacture', 'manufacture', 'stitching', 'rubber', 'resistant', 'repair', 'plastics', 'footwear', 'fire', 'assembled', '2220']"
'manufacture of articles of fur',"['knitting ), see 1312', 'shoes containing fur parts', 'hair cloth obtained', ""see 1520 '>"", ""description =' manufacture"", 'raw fur skins', 'raw hides', 'see 1511', 'see 1410', 'see 1410', 'see 1010', 'see 014', 'record n', 'imitation furs', 'fur hats', 'class excludes', 'apparel trimmed', 'skins', 'fur', 'fur', 'fur', 'manufacture', 'manufacture', 'manufacture', 'manufacture', 'weaving', 'production', 'production', 'long', 'dyeing', 'dressing', 'boots', 'articles', '1321', '0170']"
'manufacture of knitted and crocheted apparel',"[""see 1321 '>"", ""description =' manufacture"", 'record n', 'crocheted textiles', 'crocheted apparel', 'class excludes', 'manufacture', 'knitted', 'knitted']"
'tanning and dressing of leather; dressing and dyeing of fur',"[""description =' tanning"", 'see 2219', 'see 1410', 'see 1010', 'see 014', 'record n', 'class excludes', ""2220 '>"", 'natural leather', 'leather apparel', 'imitation leather', 'leather', 'slaughtering', 'skins', 'skins', 'ranching', 'production', 'production', 'part', 'part', 'manufacture', 'manufacture', 'hides', 'hides', 'fur', 'dyeing', 'dressing', 'dressing', 'based']"
"'manufacture of luggage, handbags and the like, saddlery and harness'","['linemen ‚ äôs safety belts', 'precious metal watch straps', 'precious metal watch straps', 'leather wearing apparel', ""see 3290 '>"", ""description =' manufacture"", 'leather gloves', 'see 3212', 'see 3211', 'see 3092', 'see 1520', 'see 1410', 'see 1410', 'record n', 'occupational use', 'class excludes', 'belts', 'manufacture', 'manufacture', 'manufacture', 'manufacture', 'manufacture', 'manufacture', 'manufacture', 'saddles', 'saddlery', 'non', 'luggage', 'like', 'hats', 'harness', 'handbags', 'footwear', 'bicycles']"
