Name_of_class,Keywords_from_description
' legal activities',"['one party ‚ äôs interest', 'class includes legal representation', ""description =' legal activities"", ""see 8423 '>"", 'law court activities', 'civil law notaries', 'another party', 'class excludes', 'notaries public', 'record n', 'judicial bodies', 'activities', 'whether', 'supervision', 'referees', 'persons', 'members', 'examiners', 'courts', 'bar', 'bailiffs', 'arbitrators']"
"' accounting, bookkeeping and auditing activities; tax consultancy'","['see 6311 management consultancy', ""see 8291 '>"", 'budgetary control procedures', ""description =' accounting"", 'cost accounting programmes', 'tax consultancy', 'see 7020', 'accounting systems', 'tabulation activities', 'record n', 'class excludes', 'bill collection', 'auditing activities', 'processing', 'design', 'data', 'bookkeeping']"
' Activities of head offices',"['class exercise operational control', ""description =' activities"", 'decision making role', ""related units '>"", 'class includes', 'record n', 'organizational planning', 'head offices', 'day operations', 'units', 'units', 'day', 'undertaking', 'strategic', 'overseeing', 'managing', 'manage', 'enterprise', 'enterprise', 'company', 'company']"
' management consultancy activities',"[""description =' management consultancy activities"", 'human resource policies', ""control planning '>"", 'management issues', 'record n', 'production scheduling', 'organizational planning', 'operational assistance', 'marketing objectives', 'decision areas', 'class includes', 'policies', 'planning', 'strategic', 'provision', 'practices', 'organizations', 'nature', 'guidance', 'financial', 'businesses', 'advice']"
' architectural and engineering activities and related technical',"['class includes architectural consulting activities', ""geodetic surveying activities '>"", ""description =' architectural"", 'related technical consultancy', 'industrial process control', 'industrial plant design', 'consulting activities', 'engineering activities', 'seismic surveying', 'engineering design', 'record n', 'machinery', 'geophysical', 'geologic']"
'technical testing and analysis',"[""description =' technical testing"", ""police laboratories '>"", 'including consumer goods', 'nuclear plants etc', 'dams etc', 'safety testing', 'analytical testing', 'record n', 'pressurized containers', 'periodic road', 'motor vehicles', 'motor vehicles', 'class includes', '), operation', 'testing', 'use', 'ups', 'types', 'ships', 'products', 'products', 'performance', 'models', 'mock', 'materials', 'g', 'e', 'certification', 'analysis', 'aircraft', 'aircraft']"
'research and experimental development',"[""description =' research"", 'experimental development engineering', 'record n', 'natural sciences', 'natural sciences', 'medical sciences', ""engineering '>"", 'class includes', 'agricultural sciences', 'interdisciplinary research', 'development predominantly', 'engineering', 'research', 'research', 'research', 'research', 'research', 'development', 'development', 'development', 'development', 'development', 'technology', 'biotechnology']"
'research and experimental development',"[""see 7320 '>"", ""description =' research"", 'class includes research', 'experimental development humanities', 'class excludes', 'market research', 'interdisciplinary research', 'social sciences', 'social sciences', 'record n', 'development predominantly', 'research', 'development', 'development', 'humanities', 'humanities']"
'advertising',"['subcontracting ), including advice', ""), see 8299 '>"", 'trade show organizers', 'direct mailing activities', ""description =' advertising"", 'see 5819 production', 'relations activities', 'see 8230', 'see 7420', 'see 7320', 'see 7020', 'see 5911', 'advertising services', 'advertising photography', 'advertising material', 'advertising material', 'sorting etc', 'record n', 'media planning', 'market research', 'house capabilities', 'full range', 'creative services', 'commercial messages', 'class includes', 'class excludes', 'production', 'television', 'radio', 'publishing', 'public', 'provision', 'pre', 'film', 'e', 'convention', 'buying', 'addressing']"
'market research and public opinion polling',"[""statistical analysis thereof '>"", ""description =' market research"", 'including statistical analyses', 'public opinion polling', 'class includes investigation', 'market potential', 'social issues', 'sales promotion', 'record n', 'collective opinions', 'buying habits', 'new products', 'public', 'investigation', 'products', 'results', 'purpose', 'political', 'familiarity', 'economic', 'development', 'consumers']"
'Specialized design activities',"[""description =' specialized design activities"", ""see 7110 '>"", 'engineering design', 'record n', 'class excludes', 'architectural']"
'photographic activities',"['processing motion picture film related', ""description =' photographic activities"", 'spatial information activities', ""see 7110 '>"", 'motion picture', 'see 5911', 'television industries', 'record n', 'class excludes', 'cartographic']"
"'Other professional, scientific and technical activities n.e.c.'","['technical activities n', 'record n', ""description ='"", 'scientific', 'professional', 'e', 'c', ""'>""]"
'veterinary activities',"[""also includes animal ambulance activities '>"", ""description =' veterinary activities"", 'animal health care', 'veterinary hospitals', 'control activities', 'activities include', 'record n', 'qualified veterinarians', 'pet animals', 'farm animals', 'activities', 'provision', 'carried']"
' renting and leasing of motor vehicles',"['without drivers ), trucks', ""see 6491 '>"", ""description =' renting"", 'class includes renting', 'see 4922', 'class excludes', 'utility trailers', 'record n', 'passenger cars', 'recreational vehicles', 'motor vehicles', 'operational leasing', 'financial leasing', 'trucks', 'renting', 'vehicles', 'leasing', 'leasing', 'driver', '4923']"
' renting and leasing of recreational and sports goods',"[""description =' renting"", 'class includes rental', ""sports equipments '>"", 'sports goods', 'sports equipment', 'record n', 'pleasure boats', 'sailboats', 'recreational', 'recreational', 'leasing', 'canoes', 'bicycles']"
' renting of video tapes and disks',"[""description =' renting"", 'video tapes', 'record n', ""disks '>""]"
' renting and leasing of other personal and household goods n.e.c.',"[""description =' renting"", 'household goods n', 'record n', 'personal', 'leasing', 'e', 'c', ""'>""]"
"' renting and leasing of other machinery, equipment and tangible goods'","['see division 51', 'see division 50', 'see division 43', 'tangible goods n', ""see 7721 '>"", 'civil engineering machinery', ""description =' renting"", 'see 7721', 'see 6491', 'see 0161', 'record n', 'pleasure boats', 'forestry machinery', 'class excludes', 'financial leasing', '0240 renting', 'transport equipment', 'transport equipment', 'machinery', 'leasing', 'renting', 'renting', 'renting', 'renting', 'renting', 'equipment', 'equipment', 'equipment', 'water', 'operator', 'operator', 'operator', 'operator', 'e', 'construction', 'c', 'bicycles', 'air', 'agricultural']"
'Leasing of nonfinancial intangible assets',"['take various forms', ""description =' leasing"", 'current owners may', 'nonfinancial intangible assets', 'subsequent processes', 'royalty payment', 'record n', 'operating businesses', 'licensing fee', 'franchise etc', 'class includes', 'asset holder', 'allowing others', 'financial assets', 'use non', 'may', 'assets', 'assets', 'use', 'use', 'reproduction', 'products', 'permission', 'paid', 'created', 'activities', ""'>""]"
'activities of employment placement agencies',"['class includes listing employment vacancies', 'line employment placement agencies', 'employment placement agencies', ""description =' activities"", 'employment agencies', 'also includes', 'record n', 'placing applicants', 'individuals referred', 'employment', 'referring', 'placed', 'employees', ""'>""]"
'temporary employment agency activities',"[""description =' temporary employment agency activities"", 'clients ‚ äô work sites', 'clients ‚ äô businesses', 'temporary help service unit', 'class includes activities', 'provide direct supervision', 'working force', 'units classified', 'supplying workers', 'record n', 'limited periods', 'individuals provided', 'time', 'supplement', 'however', 'employees', 'employees', 'client', ""'>""]"
'human resources',"[""description =' human resources functions"", 'human resource management services', 'providing human resources', 'personnel management duties', 'human resource issues', 'human resource', 'wide range', 'matters relating', 'client businesses', 'class includes', 'record n', 'record', 'taxes', 'supervision', 'specialized', 'responsible', 'represent', 'performing', 'payroll', 'fiscal', 'employer', 'employees', 'employees', 'direction', 'activities', ""'>""]"
' travel agency activities',"[""description =' travel agency activities"", ""commercial clients '>"", 'selling travel', 'record n', 'primarily engaged', 'class includes', 'accommodation services', 'activities', 'transportation', 'tour', 'general', 'agencies']"
' tour operator activities',"[""description =' tour operator activities"", 'class also includes', 'tour operators', 'class includes', 'travel agencies', 'tourist guides', 'record n', 'assembling tours', 'activities', 'activities', 'sold', 'directly', 'arranging', ""'>""]"
' other reservation service and related activities',"['related reservation services', 'reservation service', 'sport ).', 'rest restaurants', 'related activities', 'record n', 'providing information', 'locate accommodation', ""description ='"", 'convention centres', 'class includes', 'car rentals', 'entertainment venues', 'services', 'entertainment', 'activities', 'visitors', 'travel', 'transportation', 'promoting', 'organizations', 'marketing', 'including', 'hotels', 'assistance', ""'>""]"
' private security activities',"[""description =' private security activities"", 'class includes armored car services', 'bodyguard services security guard services', ""private security services '>"", 'finger printing services', 'polygraph services', 'record n']"
' Security systems service activities',"[""description =' security systems service activities"", 'electronic security alarm systems', ""security systems '>"", 'electronic locking devices', 'class includes monitoring', 'remote monitoring', 'record n', 'fire alarms', 'adjusting mechanical', 'selling', 'repairing', 'rebuilding', 'maintenance', 'installing', 'including', 'burglar']"
' investigation activities',"[""description =' investigation activities"", 'class includes investigation', ""private investigators '>"", 'record n', 'detective services', 'activities']"
' Combined facilities support activities',"[""description =' combined facilities support activities"", 'general interior cleaning', 'provide operating staff', 'support activities', 'typically provide', 'trash disposal', 'record n', 'class includes', 'related services', 'services', 'units', 'maintenance', 'laundry', 'combination', 'carry', ""'>""]"
'General cleaning of buildings',"['mostly interior cleaning although', ""description =' general cleaning"", 'associated exterior areas', 'multiunit residential buildings', 'cleaning activities', 'record n', 'professional premises', 'may include', 'class includes', 'cleaning', 'general', 'buildings', 'buildings', 'activities', 'windows', 'types', 'specialized', 'passageways', 'non', 'business', ""'>""]"
'other building and industrial cleaning activities',"[""industrial cleaning activities '>"", 'record n', ""description ='"", 'building']"
'landscape care and maintenance service activities',"[""description =' landscape care"", 'class includes planting', 'maintenance service activities', 'record n', ""greenery '>"", 'care', 'maintenance', 'parks', 'gardens']"
'Combined office administrative service activities',"[""description =' combined office administrative service activities"", 'day office administrative services', 'mail services etc', ""fee basis '>"", 'record n', 'record keeping', 'financial planning', 'class includes', 'day', 'reception', 'provision', 'personnel', 'others', 'contract', 'combination', 'billing']"
"'Photocopying, document preparation and other specialized office'","['specialized office support activities', 'specialized stenotype services', 'public stenography services', ""description =' photocopying"", '), see 1811', ""see 8299 '>"", 'quick printing etc', 'see 8299', 'record n', 'offset printing', 'document preparation', 'court reporting', 'class excludes', 'printing', 'documents']"
'activities of call centres',"[""description =' activities"", ""call centres '>"", 'record n']"
'organization of conventions and trade shows',"['events take place', ""description =' organization"", 'trade shows', 'trade shows', 'record n', 'class includes', 'organization', 'events', 'whether', 'staff', 'provision', 'promotion', 'operate', 'meetings', 'management', 'management', 'including', 'facilities', 'conventions', 'conventions', 'conferences', 'business', ""'>""]"
'activities of collection agencies and credit bureaus',"[""description =' activities"", 'debt collection services', 'class also includes', 'class includes', 'record n', 'financial institutions', 'employment histories', 'collection agencies', 'credit histories', 'credit bureaus', 'payments collected', 'compiling information', 'collection', 'activities', 'credit', 'payments', 'information', 'retailers', 'remittance', 'providing', 'persons', 'others', 'need', 'individuals', 'evaluate', 'creditworthiness', 'clients', 'claims', 'businesses', 'businesses', 'bill', ""'>""]"
'packaging activities',"[""description =' packaging activities"", 'class includes packaging activities', 'packaging activities incidental', ""see 5229 '>"", 'class excludes', 'see 1104', 'soft drinks', 'record n', 'mineral water', 'contract basis', 'automated process', 'whether', 'transport', 'production', 'manufacture', 'involve', 'fee']"
'other business support service activities n.e.c.',"['business support service activities n', 'record n', ""description ='"", 'e', 'c', ""'>""]"
'General public administration activities',"[""description =' general public administration activities"", 'increase personal well', 'improve economic performance', ""see 9101 '>"", 'see 8422', 'see 8413', 'see 8412', 'see 6810', 'record n', 'occupied buildings', 'government owned', 'government archives', 'class excludes', 'associated funds', 'associated funds', 'policies intended', 'policies intended', 'related r', 'administration', 'administration', 'administration', 'policies', 'r', 'r', 'operation', 'operation', 'defence', 'competitiveness', '6820']"
"'regulation of the activities of providing health care, education, cultural'","[""see division 93 '>"", 'compulsory social security activities', 'excluding social security', 'see division 86', 'see division 85', ""description =' regulation"", 'see divisions 37', 'providing health care', 'social services', 'see 9102', 'see 9101', 'see 8430', 'human health', 'remediation activities', 'related activities', 'refuse disposal', 'recreational activities', 'record n', 'public archives', 'cultural services', 'cultural institutions', 'class excludes', 'education activities', 'activities', 'activities', 'education', 'sporting', 'sewage', 'operation', 'museums', 'libraries', '39', '38']"
'Regulation of and contribution to more efficient operation of',"['class includes public administration', 'retail trade etc', 'including subsidy allocation', 'improve economic performance', 'general labour affairs', 'different economic sectors', ""description =' regulation"", 'record n', 'land use', 'efficient operation', 'associated funds', 'also included', 'regulation', 'administration', 'administration', 'wholesale', 'transport', 'r', 'policies', 'infrastructure', 'contribution', 'communication', 'businesses', 'agriculture', ""'>""]"
'Foreign affairs',"['distribution beyond national boundaries', 'consular missions stationed abroad', ""description =' foreign affairs"", 'economic aid supply', 'cultural services intended', 'class includes administration', 'foreign affairs', 'record n', ""countries '>"", 'administration', 'support', 'operation', 'operation', 'ministry', 'management', 'information', 'diplomatic']"
'Defence activities',"[""description =' defence activities"", 'space defence forces', 'military defence affairs', 'civil defence forces', ""related funds '>"", 'class includes administration', 'related r', 'record n', 'contingency plans', 'civilian institutions', 'defence', 'administration', 'administration', 'working', 'support', 'support', 'supervision', 'sea', 'populations', 'policies', 'operation', 'operation', 'land', 'involved', 'exercises', 'carrying', 'air']"
'public order and safety activities',"[""description =' public order"", ""peacetime disasters '>"", 'including legal representation', 'domestic emergency use', 'criminal law courts', 'auxiliary police forces', 'including rehabilitation services', 'class includes administration', 'correctional services', 'safety activities', 'record n', 'prison administration', 'military tribunals', 'judicial system', 'fire prevention', 'administrative civil', 'administration', 'supplies', 'regular', 'provision', 'provision', 'provided', 'operation', 'operation', 'government', 'government', 'firefighting', 'case', 'behalf', 'advice']"
'Compulsory social security activities',"[""description =' compulsory social security activities"", ""provided social security programmes '>"", 'class includes funding', 'record n', 'government', 'administration']"
'primary education',"[""description =' primary education '>"", 'record n']"
'General secondary education',"[""description =' general secondary education"", ""higher secondary education '>"", 'class also includes senior', 'record n']"
'technical and vocational secondary education',"['practical skills generally associated', 'vocational secondary education', ""prospective employment '>"", ""description =' technical"", 'class includes programmes', 'theoretical background', 'record n', 'matter specialization', 'emphasize subject', 'present', 'instruction']"
'higher education',"[""description =' higher education '>"", 'record n']"
'Sports and recreation education',"[""description =' sports"", 'swimming etc', 'recreation education', 'record n', 'class includes', 'athletic activities', 'provision', 'instruction', 'gymnastics', 'football', 'cricket', 'basketball', 'baseball', ""'>""]"
'Cultural education',"['‚ äúclasses ‚ äù etc', 'named ‚ äúschools ‚ äù', '‚ äústudios ‚ äù', ""description =' cultural education"", 'provide formally organized instruction', 'includes instruction', 'units giving', 'record n', 'professional diploma', 'instructions might', 'graduate degree', 'development purposes', 'instruction', 'type', 'self', 'recreational', 'music', 'mainly', 'lead', 'hobby', 'drama', 'baccalaureate', 'arts', ""'>""]"
'other education n.e.c.',"['adult literacy programmes see 8510', ""see 8530 '>"", 'general secondary education', 'see 8522', 'see 8521', 'general education', 'higher education', 'education n', 'specialized training', 'record n', 'occupational drivers', 'groups 851', 'driving schools', ""description ='"", 'class includes', 'class excludes', 'providing', 'offering', 'instruction', 'generally', 'e', 'comparable', 'c', 'adults', '853']"
'educational support services',"[""description =' educational support services"", 'testing evaluation services etc', 'support educational processes', 'guidance counseling services', 'instructional services', 'educational consulting', 'record n', 'class includes', 'systems', 'provision', 'non', ""'>""]"
'hospital activities',"[""description =' hospital activities"", 'including military base', ""prison hospitals '>"", 'specialized hospitals', 'rehabilitation centres', 'record n', 'health institutions', 'dental centres', 'class includes', 'accommodation facilities', 'activities', 'sanatoria', 'general', 'asylums']"
'medical and dental practice activities',"[""patients ‚ äô homes '>"", ""description =' medical"", 'class includes activities', 'dental practice activities', 'hospital outpatient clinics', 'private practice', 'record n', 'labour organizations', 'group practices', 'fraternal organizations', 'homes', 'clinics', 'well', 'schools', 'firms', 'carried', 'attached', 'aged']"
'other human health activities',"[""human health activities '>"", 'record n', ""description ='""]"
'nursing care facilities',"[""description =' nursing care facilities"", ""nursing care facilities '>"", 'class includes homes', 'nursing care', 'nursing care', 'rest homes', 'convalescent homes', 'record n', 'elderly']"
"'residential care activities for mental retardation, mental health and'","[""description =' residential care activities"", 'social work activities', 'temporary homeless shelters', ""see 8790 '>"", 'facilities provide room', 'also includes provision', 'class hospital care', 'substance abuse problems', 'substance abuse illnesses', 'residential care', 'substance abuse', 'health care', 'class excludes', 'record n', 'protective supervision', 'mental retardation', 'mental retardation', 'mental illness', 'mental health', 'mental health', 'treatment', 'people', 'patients', 'counseling', 'board', 'accommodation']"
'residential care activities for the elderly and disabled',"[""rest homes without nursing care '>"", ""description =' residential care activities"", 'minimal nursing care', 'record n', 'class communities', 'homes', 'elderly', 'elderly', 'disabled']"
'other residential care activities n.e.c.',"['children ‚ äôs boarding homes', 'compulsory social security programmes', 'class includes activities provided', 'residential care activities n', 'provide social assistance', 'residential care activities', 'term shelter activities', 'temporary homeless shelters', 'clock basis directed', 'nursing care facilities', ""see 8890 '>"", 'record n', 'class excludes', 'adoption activities', 'activities may', 'see 8890', 'take care', 'see 8730', 'see 8710', 'see 8430', 'unmarried mothers', 'special categories', 'private organizations', 'medical treatment', 'important elements', 'government offices', 'disaster victims', ""description ='"", 'care', 'children', 'children', 'short', 'self', 'round', 'persons', 'orphanages', 'limits', 'institutions', 'hostels', 'funding', 'elderly', 'education', 'e', 'disabled', 'carried', 'c', 'administration', 'ability']"
' Social work activities without accommodation for the elderly and',"[""description =' social work activities without accommodation"", ""specialists providing counseling services '>"", 'class includes social', 'similar services', 'record n', 'private organizations', 'local self', 'help organizations', 'government offices', 'counseling', 'welfare', 'referral', 'national', 'homes', 'elsewhere', 'elderly', 'elderly', 'disabled', 'disabled', 'carried', 'aimed']"
' other social work activities without accommodation n.e.c.',"['social work activities without accommodation n', 'class includes social counselling', 'charitable activities like fund', 'specialists providing counselling services', ""social work '>"", 'supporting activities aimed', 'disaster relief organizations', 'record n', 'neighbourhood activities', 'care activities', 'similar services', 'private organizations', 'help organizations', 'local self', 'government offices', ""description ='"", 'child day', 'welfare', 'refugee', 'referral', 'raising', 'national', 'individuals', 'homes', 'families', 'elsewhere', 'e', 'delivered', 'community', 'carried', 'c']"
"' Dramatic arts, music and other arts activities'","[""description =' dramatic arts"", ""arts activities '>"", 'record n', 'music']"
' library and archives activities',"['public archives providing service', ""government archive '>"", ""description =' library"", 'class includes documentation', 'general public', 'archives activities', 'viewing rooms', 'special clientele', 'record n', 'information activities', 'well', 'students', 'staff', 'scientists', 'reading', 'operation', 'members', 'listening', 'libraries', 'kinds']"
' museums activities and operation of historical sites and buildings',"[""description =' museums activities"", 'museum collection objects', 'see section f', ""see 9101 '>"", 'class includes operation', 'see 9000', 'class excludes', 'record n', 'historical sites', 'historical sites', 'historical sites', 'museums', 'activities', 'operation', 'operation', 'works', 'restoration', 'restoration', 'renovation', 'libraries', 'kinds', 'buildings', 'buildings', 'buildings', 'art', 'archives']"
'Botanical and zoological gardens and nature reserves activities',"['nature reserves activities', ""see 9319 '>"", ""description =' botanical"", 'class includes operation', 'see 8130', 'class excludes', 'zoological gardens', 'zoological gardens', 'sport fishing', 'record n', 'hunting preserves', 'gardening services', 'operation', 'botanical', 'landscape']"
'Gambling and betting activities',"[""see 9329 '>"", ""description =' gambling"", 'class includes bookmaking', 'class excludes', 'record n', 'operated games', 'betting operations', 'betting activities', 'operation', 'exploitation', 'coin']"
'Operation of sports facilities',"[""sports facilities nan '>"", ""description =' operation"", 'record n']"
'Activities of sports clubs',"[""sports clubs nan '>"", ""description =' activities"", 'record n']"
'Other sports activities',"[""sports activities nan '>"", 'record n', ""description ='""]"
'Activities of amusement parks and theme parks',"[""description =' activities"", ""theme parks '>"", 'amusement parks', 'record n']"
'Other amusement and recreation activities n.e.c.',"['recreation activities n', 'record n', ""description ='"", 'e', 'c', 'amusement', ""'>""]"
' activities of business and employers membership organizations',"['employers membership organizations', ""description =' activities"", 'class includes activities', 'similar organisations', 'record n', ""organisations '>"", 'guilds', 'federations', 'commerce', 'chambers', 'business']"
' activities of professional membership organizations',"[""similar organisations '>"", 'professional membership organizations', ""description =' activities"", 'record n', 'class includes', 'activities', 'writers', 'painters', 'lawyers', 'journalists', 'doctors', 'associations']"
' activities of trade unions',"['class includes promoting', 'associations whose members', 'employees interested chiefly', ""description =' activities"", 'union employees', 'work situation', 'views concerning', 'trade unions', 'record n', 'organized labor', ""organization '>"", 'concerted action', 'activities', 'salary', 'representation', 'interests']"
' activities of political organizations',"[""political organizations '>"", ""description =' activities"", 'record n']"
' activities of other membership organizations n.e.c.',"[""description =' activities"", 'membership organizations n', 'record n', 'e', 'c', ""'>""]"
' repair of computers and peripheral equipment',"[""peripheral equipment '>"", ""description =' repair"", 'record n', 'computers']"
' repair of communication equipment',"['video cameras etc', ""description =' repair"", 'class includes repair', 'record n', 'fax machines', 'cordless telephones', 'communication equipment', 'commercial tv', 'cellular phones', 'maintenance', ""'>""]"
' repair of consumer electronics',"['type video cameras etc', ""description =' repair"", 'class includes repair', 'record n', 'radio receivers', 'consumer electronics', 'cd players', 'vcr', 'television', 'maintenance', 'household', ""'>""]"
'repair of household appliances and home and garden equipment',"[""garden equipment '>"", ""description =' repair"", 'record n', 'household appliances', 'home']"
'repair of footwear and leather goods',"[""leather goods '>"", ""description =' repair"", 'record n', 'footwear']"
'repair of furniture and home furnishings',"[""home furnishings '>"", ""description =' repair"", 'record n', 'furniture']"
"'repair of personal and household goods, n.e.c.'","[""description =' repair"", 'household goods', 'record n', 'n', 'personal', 'e', 'c', ""'>""]"
'Washing and (dry-) cleaning of textile and fur products',"['class includes laundry collection', ""description =' washing"", 'dry -) cleaning', ""cleaning '>"", 'record n', 'minor alteration', 'fur products', 'textile', 'repair', 'garments', 'done', 'delivery', 'connection']"
'hairdressing and other beauty treatment',"['class includes hair washing', ""description =' hairdressing"", 'similar activities', 'record n', 'facial massage', 'beauty treatment', 'beard trimming', 'trimming', 'women', 'waving', 'tinting', 'straightening', 'shaving', 'setting', 'pedicure', 'men', 'manicure', 'make', 'etc', 'dyeing', 'cutting', ""'>""]"
'Funeral and related activities',"[""description =' funeral"", 'class includes burial', 'related activities', 'related activities', 'record n', ""mausoleums '>"", 'animal corpses', 'maintenance', 'incineration', 'human', 'graves']"
'other personal service activities n.e.c.',"['personal service activities n', 'record n', ""description ='"", 'e', 'c', ""'>""]"
' activities of households as employers of domestic personnel',"[""description =' activities"", 'class includes activities', 'domestic personnel employed', 'domestic personnel', 'domestic personnel', 'valets butlers', 'secretaries etc', 'record n', 'product produced', 'even though', 'even though', 'employing household', 'private households', 'employer employer', 'households', 'employer', 'employer', 'waiter', 'tutors', 'takers', 'studies', 'studies', 'state', 'maids', 'laundresses', 'keepers', 'individual', 'governesses', 'gate', 'gardeners', 'employers', 'employers', 'cooks', 'consumed', 'chauffeurs', 'censuses', 'censuses', 'care', 'babysitters', 'allows', 'activity', 'activity', ""'>""]"
' undifferentiated goods-producing activities of private households for own',"[""description =' undifferentiated goods"", 'activities include hunting', 'undifferenciated subsistence goods', 'producing subsistence activity', 'specific goods', 'produce goods', 'marketed goods', 'goods produced', 'appropriate goods', 'appropriate goods', 'producing industry', 'producing industry', 'record n', 'producing activities', 'producing activities', 'class includes', 'principally engaged', 'also engaged', ""nic '>"", 'private households', 'subsistence', 'subsistence', 'activities', 'activities', 'engaged', 'nic', 'households', 'households', 'households', 'variety', 'use', 'shelter', 'production', 'production', 'household', 'gathering', 'farming', 'clothing', 'classified', 'classified', 'application']"
' undifferentiated service-producing activities of private households for own',"[""description =' undifferentiated service"", 'activities include cooking', 'undifferentiated subsistence services', 'producing subsistence activities', 'undifferentiated goods', 'producing activities', 'producing activities', 'services produced', 'subsistence purposes', 'record n', 'multiple goods', 'class contains', 'also engaged', 'private households', ""households '>"", 'household members', 'subsistence', 'households', 'households', 'household', 'use', 'teaching', 'production', 'classified', 'caring', 'application']"
' activities of extraterritorial organizations and bodies',"[""description =' activities"", 'world bank', 'united nations', 'record n', 'opec etc', 'international organisations', 'extraterritorial organizations', 'european commission', 'class includes', 'activities', 'imf', 'bodies', 'agencies', ""'>""]"
